Sla_id	Sla_name	TSD_Code
37027	Hyde Park-Mysterton	313
37031	Magnetic Island	313
37033	Mt Louisa-Mt St John-Bohle	313
37034	Mundingburra	313
37038	Murray	313
37041	North Ward-Castle Hill	313
37044	Oonoonba-Idalia-Cluden	313
37047	Pallarenda-Shelley Beach	313
37051	Pimlico	313
37054	Railway Estate	313
37058	Rosslea	313
37062	Rowes Bay-Belgian Gardens	313
37065	South Townsville	313
37068	Stuart-Roseneath	313
37071	Vincent	313
37074	West End	313
37078	Wulguru	313
30200	Atherton (S)	314
30250	Aurukun (S)	314
32050	Cairns (C)	314
32200	Cardwell (S)	314
32501	Cook (S)(excl. Weipa)	314
32504	Cook (S)- Weipa only	314
32600	Croydon (S)	314
32800	Douglas (S)	314
32900	Eacham (S)	314
33100	Etheridge (S)	314
33700	Herberton (S)	314
34150	Johnstone (S)	314
34850	Mareeba (S)	314
35401	Mulgrave (S)- Pt A	314
35404	Mulgrave (S)- Pt B	314
36950	Torres (S)	314
31950	Burke (S)	315
32250	Carpentaria (S)	315
32450	Cloncurry (S)	315
33200	Flinders (S)	315
34800	McKinlay (S)	315
35300	Mount Isa (C)	315
36300	Richmond (S)	315
40070	Adelaide (C)	401
43150	Kensington & Norwood (C)	401
46510	Prospect (C)	401
47070	St Peters (M)	401
47980	Unley (C)	401
48260	Walkerville (M)	401
40560	Brighton (C)	402
40700	Burnside (C)	402
40910	Campbelltown (C)	402
41821	Enfield (C)- Pt A	402
41822	Enfield (C)- Pt B	402
42240	Glenelg (C)	402
42590	Henley & Grange (C)	402
42660	Hindmarsh (M)	402
44060	Marion (C)	402
44340	Mitcham (C)	402
45530	Payneham (C)	402
46020	Port Adelaide (C)	402
47770	Thebarton (M)	402
48470	West Torrens (C)	402
48680	Woodville (C)	402
41610	East Torrens (DC)	403
41680	Elizabeth (C)	403
42030	Gawler (M)	403
42450	Happy Valley (C)	403
44900	Munno Para (C)	403
45250	Noarlunga (C)	403
47140	Salisbury (C)	403
47350	Stirling (DC)	403
47700	Tea Tree Gully (C)	403
48610	Willunga (DC)	403
49249	Unincorp. West Coast	404
44970	Murat Bay (DC)	404
49249	Unincorp. West Coast	404
49179	Unincorp. Lincoln	404
47490	Streaky Bay (DC)	404
43570	Le Hunte (DC)	404
43220	Kimba (DC)	404
49179	Unincorp. Lincoln	404
41750	Elliston (DC)	404
41190	Cleve (DC)	404
41960	Franklin Harbor (DC)	404
47910	Tumby Bay (DC)	404
43710	Lower Eyre Peninsula (DC)	404
46300	Port Lincoln (C)	404
49039	Unincorp. Riverland	405
44480	Morgan (DC)	405
48120	Waikerie (DC)	405
45460	Paringa (DC)	405
46650	Renmark (M)	405
40210	Barmera (DC)	405
43780	Loxton (DC)	405
45460	Paringa (DC)	405
40420	Berri (DC)	405
47840	Truro (DC)	405
49039	Unincorp. Riverland	405
46720	Ridley (DC)	405
43080	Karoonda-East Murray (DC)	405
40630	Browns Well (DC)	405
43990	Mannum (DC)	405
45040	Murray Bridge (DC)	405
45880	Pinnaroo (DC)	405
43430	Lameroo (DC)	405
44130	Meningie (DC)	405
45600	Peake (DC)	405
